Category,Sentence (Fijian)
Grammar Core (Sentence Structures & Tenses),Au lako yani ki Suva ena yakavi.
Grammar Core (Sentence Structures & Tenses),Ena na lako o Mere ki na koronivuli ni mataka.
Grammar Core (Sentence Structures & Tenses),Au a sega ni raica na tivi ena moniti.
Grammar Core (Sentence Structures & Tenses),E tukuna o koya ni na vukei iko ke o vinakata.
Grammar Core (Sentence Structures & Tenses),Era sa laki wilika oti na ivola kece.
Grammar Core (Sentence Structures & Tenses),Na ivola e wili oti ka sa qai biu ena teveli.
Grammar Core (Sentence Structures & Tenses),"Kevaka au na rawata, au na volia e dua na sitoa."
Grammar Core (Sentence Structures & Tenses),E sega ni dua na tamata e kila na ka e yaco.
Grammar Core (Sentence Structures & Tenses),Na vale e tara tiko ena gauna oqo.
Grammar Core (Sentence Structures & Tenses),"Ke a sega ni tau na uca, ke da a lako yani."
Conversational Data (Real-Life Dialogues & Exchanges),O cei na yacamu?—O yau o Jone.
Conversational Data (Real-Life Dialogues & Exchanges),E vica na kena isau?—E rua na dola.
Conversational Data (Real-Life Dialogues & Exchanges),O sa mai cakaevei?—Au mai volia na kakana.
Conversational Data (Real-Life Dialogues & Exchanges),"O rawa ni vukei au?—Io, cava o vinakata?"
Conversational Data (Real-Life Dialogues & Exchanges),"E bau rogo vinaka na iotioti ni sere?—Io, e matasere dina!"
Conversational Data (Real-Life Dialogues & Exchanges),"O tiko vinaka?—Io, vinaka vakalevu."
Conversational Data (Real-Life Dialogues & Exchanges),O qai lako mai ena gauna cava?—Au yaco ena walu.
Conversational Data (Real-Life Dialogues & Exchanges),"Sa toso tiko na gauna!—Io, sa voleka na rua."
Conversational Data (Real-Life Dialogues & Exchanges),"Au sa lako mada.—Vinaka, moce mada."
Conversational Data (Real-Life Dialogues & Exchanges),"Tiko e dua na nomu iloloma?—Io, rau sa biu oti tu."
Code-Switching & Multilingualism,Au sa via kana pizza ena bogi qo.
Code-Switching & Multilingualism,"E lako mai o Mere, then she went shopping."
Code-Switching & Multilingualism,"Io, au kila na situation oqo sara ga."
Code-Switching & Multilingualism,"Kerekere, can you help me with this?"
Code-Switching & Multilingualism,Eda na start ena rua na kaloko.
Code-Switching & Multilingualism,"Sega, I already told him na itukutuku."
Code-Switching & Multilingualism,Au a raica oti ena Facebook post.
Code-Switching & Multilingualism,Na kena setup e complicated sara.
Code-Switching & Multilingualism,O rawa ni screenshot taka mada?
Code-Switching & Multilingualism,Let’s meet tomorrow ena coffee shop.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Sa vakarautaki oti na ripote ni veika vakailavo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",E dodonu me vakayacori na bose ni komiti ena Vukelulu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",E vakaraitaki tiko ena itukutuku ni nodra vakadonuya na lewenivanua.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Na marama o Luisa e vuniwai ena valenibula levu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",E vakayacori tiko na cakacaka ni vakadidike ena tabana ni saienisi.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",E sega ni vakarautaki vinaka na isema ni mataveilawa.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Na lawa oqo e taukena na Ministry ni Veika Vakadodonu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",E sa vakarautaki na ivakamacala ni bisinisi vou oqo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Na veidinadinati e sema tiko me vakayacori ena loma ni vula rua.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Na misini e vakaduri ena kena vakadonuya na daukeni bisinisi.
"Idioms, Proverbs & Cultural Expressions",E vaka ga na siga e cila mai na tokalau.
"Idioms, Proverbs & Cultural Expressions",Na dausiga e kila na kena iloloma.
"Idioms, Proverbs & Cultural Expressions",E sega ni dua e rawa ni dabe ena duasiga na nomu meca.
"Idioms, Proverbs & Cultural Expressions","Ke o sega ni vuca na wai, o na sega ni kila na kena batabata."
"Idioms, Proverbs & Cultural Expressions","Na yava e tiko ena dua na taba, e dua tale ena dua na vanua."
"Idioms, Proverbs & Cultural Expressions",Na tamata yalovinaka e sega ni via vakacacani.
"Idioms, Proverbs & Cultural Expressions","E rawa ni dro na gusu, ia na vakasama e tu ga."
"Idioms, Proverbs & Cultural Expressions",Na gone e dau kila na ka ni vuvale.
"Idioms, Proverbs & Cultural Expressions",Na tamata dina e sega ni vakacalai.
"Idioms, Proverbs & Cultural Expressions",Na vosa malua e vakamalumu kina na cudru.
Question-Answer Pairs (FAQ & Contextual Understanding),"O sa marau tiko nikua?—Io, au marautaka na siga."
Question-Answer Pairs (FAQ & Contextual Understanding),E vei na vale ni lotu?—E tiko ena bati ni sala levu.
Question-Answer Pairs (FAQ & Contextual Understanding),Na gauna cava eda na lako?—Ena tolu na kaloko.
Question-Answer Pairs (FAQ & Contextual Understanding),O cei e liu mai?—O Jone e a yaco taumada.
Question-Answer Pairs (FAQ & Contextual Understanding),Ena vakacavari na cakacaka ena gauna cava?—Ena tini na kaloko.
Question-Answer Pairs (FAQ & Contextual Understanding),"E vinaka na kena kakana?—Io, e saumi vinaka."
Question-Answer Pairs (FAQ & Contextual Understanding),"E sega ni dua e raica na iyaya?—Io, e sa yali tu."
Question-Answer Pairs (FAQ & Contextual Understanding),Na vanua cava o via lai vakacagicagi kina?—Lautoka.
Question-Answer Pairs (FAQ & Contextual Understanding),"O vinakata mo mai vakarorogo?—Io, kerekere."
Question-Answer Pairs (FAQ & Contextual Understanding),"E yaco na leqa ena mataka?—Sega, e vinaka ga."
Commands & Instructions (Imperative Sentences),Lako mada mai!
Commands & Instructions (Imperative Sentences),Wilika na ivola!
Commands & Instructions (Imperative Sentences),Biuta na nomu bausi e ke!
Commands & Instructions (Imperative Sentences),Kau mada mai na misini!
Commands & Instructions (Imperative Sentences),Tuvana vinaka na rumu!
Commands & Instructions (Imperative Sentences),Kerea na veivuke!
Commands & Instructions (Imperative Sentences),Mo kua ni vosa vakacacaca!
Commands & Instructions (Imperative Sentences),Qai tara vinaka!
Commands & Instructions (Imperative Sentences),Raica mada na tabana qo!
Commands & Instructions (Imperative Sentences),Vakararavi ga ena nomu cakacaka.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",O Jone e lako ki Nadi ena Vakarauwai.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Na University of the South Pacific e tiko e Suva.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Na iotioti ni bose e vakayacori ena Okosita.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",O Luisa e cakacaka ena Vodafone Fiji.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Na gauna ni Valenibula e na valu ki na vitu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","O Mere, ena nona yabaki 25, e dua na gonevuli."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Na koro o Navosa e tu e Viti Levu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",E vakayacori na soqo ena Ratu Sukuna Day.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Ena Me 15, eda na laki masulaki."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",O Tikina o Rewa e toso vinaka tiko.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Au domoni koya sara vakalevu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),E ca sara na nodra veiqaravi!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Au marautaka na kena vakarautaki na magiti.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"E yaco na leqa, ia au vakacegu ga."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),E totolo na nodra response!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Au tukuna vakadodonu—e sega ni vakamarautaki.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Na sere oqo e vakavuna na noqu tagi.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"E vinaka tu na ituvaki qo, se sega?"
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Au lomaleqa ni sega ni yaco na ka au namaka.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Sa dua na ka na nodrau veidokai!
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Au sa lako yani ki vale.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Au gole yani ki noqu vale.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Au a biubiu ki vale mai na rumu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Au sa biu na vale qo.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Au yaco oti ki vale ena yakavi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Na noqu ilakolako ki vale e oti na yakavi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Au lesu tale ki vale ena bogi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Au sa tiko ena vale ena gauna qo.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Au gole yani mai noqu vale.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Na noqu vale e vica ga na meca.
