Category,Swiss German Sentence
Grammar Core (Sentence Structures & Tenses),Ich ha gesse.
Grammar Core (Sentence Structures & Tenses),Er wird cho.
Grammar Core (Sentence Structures & Tenses),Sie hätt gärn es Bier.
Grammar Core (Sentence Structures & Tenses),Hesch du s Buech gseh?
Grammar Core (Sentence Structures & Tenses),Mir händ gschafft.
Grammar Core (Sentence Structures & Tenses),Ich ha kei Ziit gha.
Grammar Core (Sentence Structures & Tenses),S Auto isch vor de Garasch.
Grammar Core (Sentence Structures & Tenses),"Wenn ich chönnt, würdi reise."
Grammar Core (Sentence Structures & Tenses),Mir gönd am Morge schwümme.
Grammar Core (Sentence Structures & Tenses),D Bärge si huere schön.
Conversational Data (Real-Life Dialogues & Exchanges),"Hoi, wie gahts?"
Conversational Data (Real-Life Dialogues & Exchanges),"Alles guet, danke! Und dir?"
Conversational Data (Real-Life Dialogues & Exchanges),Was hesch hüt vor?
Conversational Data (Real-Life Dialogues & Exchanges),Ich ha vil Ziit zum Schaffe.
Conversational Data (Real-Life Dialogues & Exchanges),Wänn treffe mir üs?
Conversational Data (Real-Life Dialogues & Exchanges),Chunsch morn au?
Conversational Data (Real-Life Dialogues & Exchanges),Was het er gseit?
Conversational Data (Real-Life Dialogues & Exchanges),Hesch du scho zmorge ghaa?
Conversational Data (Real-Life Dialogues & Exchanges),Ich ha kei Ahnig!
Conversational Data (Real-Life Dialogues & Exchanges),Mir gönd go goffe.
Code-Switching & Multilingualism,Ich ha scho en Call ghaa mit em Team.
Code-Switching & Multilingualism,Mir gönd i d City go shoppe.
Code-Switching & Multilingualism,Hüt isch en crazy Tag!
Code-Switching & Multilingualism,Könnt mir bitte en Espresso bestelle?
Code-Switching & Multilingualism,Ich check s ned.
Code-Switching & Multilingualism,Das isch mega cool!
Code-Switching & Multilingualism,Ich ha kei Bock uf das Meeting.
Code-Switching & Multilingualism,Ich bi grad am Work.
Code-Switching & Multilingualism,Gömmer McDonald's?
Code-Switching & Multilingualism,Mir müesse noch Paris für e Meeting.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",D Sitzung beginnt um achti Uhr.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mir müesse d Statistike überprüefe.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Bitte sende mir d Dokumente bis Morn.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Das isch e strategische Entscheed.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mir analysiere d Finanzberichte.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",D Patientenverfügung isch relevant.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",S System muess optimiert werde.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",D Datenverarbeetig isch priorität.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mir müesse de Vertrag unterzeichne.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",D Operation isch erfolgrich gsi.
"Idioms, Proverbs & Cultural Expressions",Es isch ned alli Täg Sunntig.
"Idioms, Proverbs & Cultural Expressions",Lieber en Spatz i de Hand als es Täubli ufem Dach.
"Idioms, Proverbs & Cultural Expressions",De früeh Vogel fangt de Wurm.
"Idioms, Proverbs & Cultural Expressions",Mir gönd de Füfer und s Weggli ha.
"Idioms, Proverbs & Cultural Expressions",De letschti beisst de Hund.
"Idioms, Proverbs & Cultural Expressions","S'isch e wäge, wie es isch."
"Idioms, Proverbs & Cultural Expressions",Chasch d'Welt ned us de Anggle lupfe.
"Idioms, Proverbs & Cultural Expressions",D Bärge ruufe.
"Idioms, Proverbs & Cultural Expressions","Wo e Wille isch, isch o en Wäg."
"Idioms, Proverbs & Cultural Expressions",Mir händs gschafft – uf guete Schwiizer Art.
Question-Answer Pairs (FAQ & Contextual Understanding),Wo isch d nächsti Tramstation? – Grad ume Egge.
Question-Answer Pairs (FAQ & Contextual Understanding),Was hesch zum Zmittag gha? – Es Riz Casimir.
Question-Answer Pairs (FAQ & Contextual Understanding),Wänn chunt s nächste Tram? – In drei Minute.
Question-Answer Pairs (FAQ & Contextual Understanding),"Hesch d’Ziit? – Ja, es isch halbi vieri."
Question-Answer Pairs (FAQ & Contextual Understanding),Was isch dini Lieblingsfarbe? – Blau.
Question-Answer Pairs (FAQ & Contextual Understanding),Wie chunsch du go schaffe? – Mit em Velo.
Question-Answer Pairs (FAQ & Contextual Understanding),"Isch d'Post offen? – Ja, bis siebni."
Question-Answer Pairs (FAQ & Contextual Understanding),Wo chann ich das Ticket loufe? – Am Automat.
Question-Answer Pairs (FAQ & Contextual Understanding),Wie het s Wetter morn? – Schön und warm.
Question-Answer Pairs (FAQ & Contextual Understanding),"Isch d Zytig scho da? – Jo, ufem Tisch."
Commands & Instructions (Imperative Sentences),Chumm mal da!
Commands & Instructions (Imperative Sentences),Mach s Liecht uus.
Commands & Instructions (Imperative Sentences),Schrib mir s Mail.
Commands & Instructions (Imperative Sentences),Hör uuf s Gschpräch!
Commands & Instructions (Imperative Sentences),Nimm es Bhaltis!
Commands & Instructions (Imperative Sentences),Lueg da!
Commands & Instructions (Imperative Sentences),Bring mir es Glas Wasser.
Commands & Instructions (Imperative Sentences),Gib mir d Fernbedienig.
Commands & Instructions (Imperative Sentences),Stell s Velo id Garasch.
Commands & Instructions (Imperative Sentences),Bitte wart do!
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",D UEFA isch de grösst Füssballverband.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Zürich isch en wunderschöni Stadt.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",D Bundesverfassung isch im Jahr 1848 verabschiedet worde.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Roger Federer isch e Schwiizer Tennislegende.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ehr händ d Tesla-Aktie kauft.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mir gönd uf Luzern.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Amazon liefert scho morn.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",De 1. August isch de Nationalfiirtag.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",D Limmat flüsst dür Züri.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",S Google-Büro isch i Zürich.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Das isch e super gueti Idee!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ich ha mega Freud!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Das isch voll blöd.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ich bi u mega wütend!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Das hät mi richtig glügglich gmacht.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ich ha kei Lust.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Das isch mega traurig.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ich bi total begeisteret!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Das isch en Albtraum!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ich ha es mega lässigs Wuchenänd gha.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ich ha gester Zmittag ghä.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Gester ha ich Zmittag ghä.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ich ha zum Zmittag es Sandwich ghä.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Zum Zmittag gester ha ich es Sandwich ghä.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ich ha es guets Zmittag gha.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),S Zmittag gester isch guet gsi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Gester ha ich es feins Zmittag gha.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ich ha gester mega guet gässe.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),S Zmittag ha ich gärn gha.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ich ha scho vil besser Zmittag gha.
