Category,Samoan Sentence
Grammar Core (Sentence Structures & Tenses),Sa ou alu i le fale ananafi.
Grammar Core (Sentence Structures & Tenses),O lea ou te faitau i le tusi i le taimi nei.
Grammar Core (Sentence Structures & Tenses),O le a ia galue i le ofisa taeao.
Grammar Core (Sentence Structures & Tenses),"Pe ana ou iloa, semanu ou te alu."
Grammar Core (Sentence Structures & Tenses),E le mafai ona ia sau i le aso.
Grammar Core (Sentence Structures & Tenses),Ua uma ona fai le galuega.
Grammar Core (Sentence Structures & Tenses),E masani ona matou feiloaʻi i le Aso Gafua.
Grammar Core (Sentence Structures & Tenses),O le tamāloa na tu i le faitotoʻa.
Grammar Core (Sentence Structures & Tenses),"Afai e te fia iloa, fesili mai."
Grammar Core (Sentence Structures & Tenses),Na galue o ia mo le lima tausaga.
Conversational Data (Real-Life Dialogues & Exchanges),Talofa! Oa mai oe?
Conversational Data (Real-Life Dialogues & Exchanges),"Ua lelei, fa'afetai. Ae o oe?"
Conversational Data (Real-Life Dialogues & Exchanges),O fea e te nofo ai?
Conversational Data (Real-Life Dialogues & Exchanges),"Ou te nofo i Apia, i Samoa."
Conversational Data (Real-Life Dialogues & Exchanges),E te fia alu i le matafaga i le Aso Toʻonaʻi?
Conversational Data (Real-Life Dialogues & Exchanges),"Ioe, e manaia tele le tafaoga i le sami."
Conversational Data (Real-Life Dialogues & Exchanges),Ua e 'ai i le meaʻai Sāmoa?
Conversational Data (Real-Life Dialogues & Exchanges),"Ioe, ou te fiafia i le palusami."
Conversational Data (Real-Life Dialogues & Exchanges),"Fa'amalie atu, o le ā le taimi?"
Conversational Data (Real-Life Dialogues & Exchanges),E sefulu minute i le iva.
Code-Switching & Multilingualism,"Hey, e te sau i le party i le weekend?"
Code-Switching & Multilingualism,Ua ou download le app i luga o le telefoni.
Code-Switching & Multilingualism,"Let's go, ae 'aua le galo lau pusa vai."
Code-Switching & Multilingualism,"Ua ou i le class, text mai mulimuli ane."
Code-Switching & Multilingualism,E i ai se meeting i le zoom i le 10am.
Code-Switching & Multilingualism,"O le tutor e lelei tele, very helpful!"
Code-Switching & Multilingualism,Check out le link na ou lafo atu.
Code-Switching & Multilingualism,E mana'omia se ID mo le exam.
Code-Switching & Multilingualism,Ua lava le budget mo le project?
Code-Switching & Multilingualism,"I’m not sure, ae ou te fesili atu."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Faʻamolemole saini i le pepa aʻo leʻi ulufale.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",O le fono o le a amata i le 9 i le taeao.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ua fautuaina le gasegase e inu vailaʻau i aso uma.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",E manaʻomia le fa'ataga aloaʻia a le pulega.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",O le lipoti ua maeʻa ma ua sauni e tuʻuina atu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Fa'amolemole, 'aua le fa'aogaina le meafaigaluega e aunoa ma le aʻoaʻoga."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",O le pili mo togafitiga e $50.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",O lo'o iai i le konekarate ni aiaiga taua.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",E tatau ona tausisia le tulafono i taimi uma.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",O le polokalama fou o le a fa'alauiloa i le masina fou.
"Idioms, Proverbs & Cultural Expressions",E le fono pa'a i vao.
"Idioms, Proverbs & Cultural Expressions",E le se tasi le mea e lelei ai le fale.
"Idioms, Proverbs & Cultural Expressions",Ua leai se tofā mamao.
"Idioms, Proverbs & Cultural Expressions",O le galue malosi e maua ai le manuia.
"Idioms, Proverbs & Cultural Expressions","O le upu e paia, e fa'aaloalo ai i le tagata."
"Idioms, Proverbs & Cultural Expressions","A e lē tagi i le loto, e tagi i le tino."
"Idioms, Proverbs & Cultural Expressions","E gase le masina, ae tumau le galuega lelei."
"Idioms, Proverbs & Cultural Expressions",O le fogāfono e le mafai ona natia ai le agasala.
"Idioms, Proverbs & Cultural Expressions",O le loto tū e le vaivai.
"Idioms, Proverbs & Cultural Expressions",E le seʻi le niu i lona tino.
Question-Answer Pairs (FAQ & Contextual Understanding),O fea e maua ai le pasi? — I le nofoaga autū i le taulaga.
Question-Answer Pairs (FAQ & Contextual Understanding),O le ā le tau i Samoa i le taumafanafana? — E vevela ma susu.
Question-Answer Pairs (FAQ & Contextual Understanding),Ua ā le taimi? — E lua i le aoauli.
Question-Answer Pairs (FAQ & Contextual Understanding),"E mafai ona ou totogi i le card? — Ioe, e mafai."
Question-Answer Pairs (FAQ & Contextual Understanding),O fea le faletalimalo sili ona taugofie? — O le Pasefika Inn.
Question-Answer Pairs (FAQ & Contextual Understanding),"Ua uma le poloketi? — Leai, o lo'o fa'agasolo pea."
Question-Answer Pairs (FAQ & Contextual Understanding),E fia le tau o lenei? — E $25.
Question-Answer Pairs (FAQ & Contextual Understanding),"E mafai ona ou alu i totonu? — Fa'amolemole, fa'atali i fafo."
Question-Answer Pairs (FAQ & Contextual Understanding),O ai le pule o le ofisa? — O le susuga ia Sefulu.
Question-Answer Pairs (FAQ & Contextual Understanding),"E te talitonu i le suiga o le tau? — Ioe, ua atili manino mai."
Commands & Instructions (Imperative Sentences),Tatala le faitotoʻa.
Commands & Instructions (Imperative Sentences),Faitau le tusi i le itulau 10.
Commands & Instructions (Imperative Sentences),Taofi le ta'avale.
Commands & Instructions (Imperative Sentences),"Fa'amolemole, tu'u le ipu i luga o le laulau."
Commands & Instructions (Imperative Sentences),Tape le molī pe a e alu ese.
Commands & Instructions (Imperative Sentences),Vaevae le keke i vaega tutusa.
Commands & Instructions (Imperative Sentences),Taʻu i le tamaitiiti e aua le tamoʻe.
Commands & Instructions (Imperative Sentences),Tusi lou igoa i le pito i lalo.
Commands & Instructions (Imperative Sentences),Fesoasoani i lou uso i le galuega.
Commands & Instructions (Imperative Sentences),Ave le pusa i le umukuka.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Na fanau mai Maria i le tausaga e 1995.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",O Apia o le laumua o Samoa.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ua tatalaina le faleaiga fou i Vaitele.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",O le Malo o Samoa na fa'avae i le 1962.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",O le a talanoa mai le Peresetene i le Aso Faraile.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Na asiasi mai le UN i le tausaga talu ai.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",O le Western Union o lo'o i totonu o le taulaga.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ua resitaraina le kamupani i le aso 15 Mati.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",O le tamaitai o Sina e sau mai Falealupo.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",E i ai le fonotaga i le fale o le Palemene.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ou te fiafia tele i lenei musika.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ua ou ita i le tulaga na tupu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),E fa'anoanoa le tala na ou fa'alogo i ai.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ua sili ona ou fiafia i le ata tifaga.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),E le lelei le tautua a le faleʻaiga.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ou te fiafia i le tofo o le keke.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),E mataʻutia le afā na oʻo mai.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),E matagofie le vaaiga i le mauga.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ou te le fiafia i le meaʻai salati.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ua ou fiafia ona ua ou maua le galuega.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ua alu le tama i le maketi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),O le tama ua alu atu i le maketi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),O le maketi na alu i ai le tama.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ua savali le tama i le nofoaga faʻatau.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),O le maketi o le mea lea na alu i ai.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),O le tama lea na alu i le maketi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ua tuua e le tama le fale mo le maketi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),O le nofoaga lea ua alu i ai le tama.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),O le tama o lo'o i le maketi i le taimi nei.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ua taunuu le tama i le maketi.