Category,Xitsonga_Sentence
Grammar Core (Sentence Structures & Tenses),Ndzi famba ensin’wini.
Grammar Core (Sentence Structures & Tenses),U ta dyondza swinene mundzuku.
Grammar Core (Sentence Structures & Tenses),A hi rhanganga hi fika.
Grammar Core (Sentence Structures & Tenses),"Ndzi ta rhandza ku pfuna, loko ndzi nga swi kota."
Grammar Core (Sentence Structures & Tenses),A swi vulavuriwi kahle.
Grammar Core (Sentence Structures & Tenses),Ndzi dyondze xikolo xa le henhla.
Grammar Core (Sentence Structures & Tenses),Va le ku lunghiseleleni ntirho.
Grammar Core (Sentence Structures & Tenses),Ndzi nga dyondzi nchumu eka xikolo lexi.
Grammar Core (Sentence Structures & Tenses),N’wana u komberiwe ku hlawula buku.
Grammar Core (Sentence Structures & Tenses),Ndzi ta va ndzi ri karhi ndzi tirhisa Xitsonga nkarhi hinkwawo.
Conversational Data (Real-Life Dialogues & Exchanges),— U famba kwini? — Ndzi ya ekaya.
Conversational Data (Real-Life Dialogues & Exchanges),— Wa tshama kwihi? — Ndzi tshama eGiyani.
Conversational Data (Real-Life Dialogues & Exchanges),"— Xewani, ndzi kombela ku vulavula na n’wina."
Conversational Data (Real-Life Dialogues & Exchanges),"— Wa rhandza swakudya leswi? — Ina, ngopfu-ngopfu mavele!"
Conversational Data (Real-Life Dialogues & Exchanges),"— Ndzi rivalela, ndzi hlundzukile."
Conversational Data (Real-Life Dialogues & Exchanges),— Xana u tirha kwihi? — Ndzi tirha eholweni ya masipala.
Conversational Data (Real-Life Dialogues & Exchanges),"— Ndzi twa ku karhateka, n'wina ke? — Na mina ndzi titwa hi ndlela leyi."
Conversational Data (Real-Life Dialogues & Exchanges),— U dyondza yini? — Ndzi dyondza swa vumaki.
Conversational Data (Real-Life Dialogues & Exchanges),— Ndzi rhandza ku vulavula na wena nkarhi hinkwawo. — Mina na swona!
Conversational Data (Real-Life Dialogues & Exchanges),— U ni malembe mangani? — Ndzi ni malembe ya 25.
Code-Switching & Multilingualism,Ndzi vulavula Xitsonga na English loko ndzi le xikolweni.
Code-Switching & Multilingualism,Wa nghena meeting leyi online hi Zoom?
Code-Switching & Multilingualism,Ndzi lava ku request-a leave ya 2 days.
Code-Switching & Multilingualism,Ndzi famba hi taxi ku ya eJoburg.
Code-Switching & Multilingualism,Ndzi rhandza ku nghena class ya science.
Code-Switching & Multilingualism,Ndzi fanele ku complete-a project ya mina.
Code-Switching & Multilingualism,Ndzi tirhisa laptop ku endla homework ya mathematics.
Code-Switching & Multilingualism,Ndzi hlayisa documents ya mina eGoogle Drive.
Code-Switching & Multilingualism,Ndzi fanele ku download-a PDF leyi.
Code-Switching & Multilingualism,Ndzi swi tiva leswaku u nghena eka Zoom call namuntlha.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ndzi kombela ku yimisiwa ntirho lowu hi mhaka ya ku tlhariha ka ntirho.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ku na ntirho wa mpimo wa le henhla lowu lavaka tinhlawulo ta nkoka.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ndzi vulavurisana na vatirhi eka projeke ya masipala.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Hi ta tirhisa data ya vana ku endla xiboho lexi fambelanaka.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",N'wana u laveka ku vona dokodela hi xihatla.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ku lulamisiwa ka masangu ehovisi ya rihanyo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ndzi ta tshama na hosi leswaku hi burisana hi timfanelo ta vaakindhawu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ndzi lulamisile xitatimende xa mfumo hi leswi endlaka.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Va tirha eka projeke ya technology ya le ka ndhawu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ndzi tirhisa software ku lulamisa leswi.
"Idioms, Proverbs & Cultural Expressions","Mbyana yi sungula hi ku tsutsuma, yi hetelela hi ku tsokombela."
"Idioms, Proverbs & Cultural Expressions",Loko u dya u nga tsemi xandla lexi ku dyaka ha xona.
"Idioms, Proverbs & Cultural Expressions",Tindlu ta hava timatsi ti pfurha nkarhi hinkwawo.
"Idioms, Proverbs & Cultural Expressions",Ku chava a ku lavi ku tlhariha.
"Idioms, Proverbs & Cultural Expressions",U nga nyumi mati lama nga na ngwenya.
"Idioms, Proverbs & Cultural Expressions","Loko ku ri ni mpfundla, hosi ya ba tihanyi."
"Idioms, Proverbs & Cultural Expressions",Tinghala ti dya hambileswi ku nga riki ni nhlomulo.
"Idioms, Proverbs & Cultural Expressions","U nga ha sungula hi ntolovelo, u heta hi nchumu."
"Idioms, Proverbs & Cultural Expressions","Loko ndzilo wu ri ekusuhi, ni wena u huma."
"Idioms, Proverbs & Cultural Expressions",Ku famba hi milenge ku antswa ku tshama u rilela.
Question-Answer Pairs (FAQ & Contextual Understanding),— Xana u tshama kwihi? — Ndzi tshama eN'wamitwa.
Question-Answer Pairs (FAQ & Contextual Understanding),— Xana xikolo xi sungula nkarhi muni? — Xi sungula hi 7:30.
Question-Answer Pairs (FAQ & Contextual Understanding),— Xana n'wana u ta dyondza yini? — U ta dyondza Xitsonga na Mathematics.
Question-Answer Pairs (FAQ & Contextual Understanding),— Xana u tshama na mani? — Ndzi tshama na vatswari va mina.
Question-Answer Pairs (FAQ & Contextual Understanding),— Xana ntirho wa wena i wihi? — Ndzi dyondzisa eka xikolo xa le henhla.
Question-Answer Pairs (FAQ & Contextual Understanding),— Xana hi rini ku na nkhuvo wa ndyangu? — Hi Mugqivela lowu taka.
Question-Answer Pairs (FAQ & Contextual Understanding),"— Xana u rhandza ku hlaya tibuku? — Ina, ngopfu-ngopfu ta swihlamariso."
Question-Answer Pairs (FAQ & Contextual Understanding),— Xana u tshama nkarhi muni u ri karhi u dyondza? — Nkarhi hinkwawo loko ndzi ri ekaya.
Question-Answer Pairs (FAQ & Contextual Understanding),— Xana leswi swi laveka rini? — Swi laveka namuntlha.
Question-Answer Pairs (FAQ & Contextual Understanding),"— Xana hi nga tlhela hi vulavula mundzuku? — Ina, ndzi ta va ndzi ri kona."
Commands & Instructions (Imperative Sentences),Pfuka u hlantswa xikandza.
Commands & Instructions (Imperative Sentences),Teka buku ya wena u sungula ku hlaya.
Commands & Instructions (Imperative Sentences),Tshika ku vulavula loko mudyondzisi a vulavula.
Commands & Instructions (Imperative Sentences),Yisa maphepha lawa ehovisi.
Commands & Instructions (Imperative Sentences),Tiyisa ndlela ya wena yo vulavula.
Commands & Instructions (Imperative Sentences),Hlayisa swibumabumelo leswi kahle.
Commands & Instructions (Imperative Sentences),Lulamisa switirhisiwa hinkwaswo emahlweni ka ntirho.
Commands & Instructions (Imperative Sentences),Ndzi nyika ndlela ndzi hundza.
Commands & Instructions (Imperative Sentences),Tiyisisa leswaku nyangwa wu pfariwile.
Commands & Instructions (Imperative Sentences),Rhanga hi ku tirhisa swin'wana u nga si byela.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Joni u fambile eMaputo hi ti 12 Dzivamisoko.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ku ta va ni ntsombano eGiyani namuntlha.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Xikolo xa Tlakuka xi pfuriwa hi Muvhango Foundation.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Xitsonga xi dyondziwa hi vana vo tala eLimpopo.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",N'waBaloyi u laveka hi mfumo wa le ka masipala.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ndzi kumekile eka workshop ya UNICEF eN'waxinyamani.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mutshamaxitulu wa Nhlangano wa Vatsonga u vulavule swinene.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ku endliwa dyondzo eUniversity of Venda.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ndzi rhambiwe eka Career Expo hi ti 5 Mawuwani.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Nkulukumba u lo huma eTzaneen ku ya dyondzisa.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ndzi tsakile ngopfu hi ndlela leyi u dyondzaka ha yona.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Ndzi karhele swinene, a ndzi lavi ku vulavula."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ndzi vilele hi leswi nga ta humelela.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ndzi rhandza ngopfu ku va exikarhi ka ndyangu wa mina.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ndzi hlundzukile hikuva ndzi rivariwile.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ndzi titwa ndzi ntshunxekile loko ndzi vulavula Xitsonga.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ndzi chavile hikwalaho ka ku hambana loku.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ndzi navela ku tlhela ndzi vona vanghana va mina.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ndzi titwa ndzi ri exikarhi ka rirhandzu ra ntiyiso.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ndzi karhatekile hikwalaho ka ku tshama nkarhi wo leha emahlweni ka khompyuta.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ndzi ya ekaya sweswi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Sweswi ndzi le ku kongomeni ku ya ekaya.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ndzi le ndleleni yo ya ekaya.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ndzi sungula ku famba ndzi ya ekaya.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ndzi sungula ku famba sweswi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ndzi tshama ndzi ya ekaya hi nkarhi lowu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ndzi fanele ku ya ekaya sweswi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ku ya ekaya i mhaka ya nkoka eka mina.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ndzi nga swi kota ku ya ekaya hi mpfhuka.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ndzi fambile ndzi suka laha ku ya ekaya.