Category,Isan Sentence
Grammar Core (Sentence Structures & Tenses),ข่อยไปตลาดเมื่อนี้
Grammar Core (Sentence Structures & Tenses),เขาได้กินเข้าแล้ว
Grammar Core (Sentence Structures & Tenses),เขาสิไปฮอดบ้านพรุ่งนี้
Grammar Core (Sentence Structures & Tenses),ถ้าฝนตกข่อยบ่ไป
Grammar Core (Sentence Structures & Tenses),ร้านนี้ถูกปิดไปแล้ว
Grammar Core (Sentence Structures & Tenses),บ่มีไผมาเบิ่งหนัง
Grammar Core (Sentence Structures & Tenses),ข่อยเคยไปเวียงจันทน์
Grammar Core (Sentence Structures & Tenses),ข่อยกำลังอ่านหนังสือ
Grammar Core (Sentence Structures & Tenses),เขาจะโทรหาข่อย
Grammar Core (Sentence Structures & Tenses),ข่อยบ่ได้พาเขาไป
Conversational Data (Real-Life Dialogues & Exchanges),ເຈົ້າໄປໃສ?
Conversational Data (Real-Life Dialogues & Exchanges),ข่อยกำลังหาเสื้ออยู่
Conversational Data (Real-Life Dialogues & Exchanges),ร้านนี้เปิดยามใด?
Conversational Data (Real-Life Dialogues & Exchanges),อากาศมื้อนี้ดีหลาย
Conversational Data (Real-Life Dialogues & Exchanges),เจ้าสิไปกี่โมง?
Conversational Data (Real-Life Dialogues & Exchanges),กินข้าวบ่?
Conversational Data (Real-Life Dialogues & Exchanges),เจ้าสิอยู่เฮือนตลอดบ่?
Conversational Data (Real-Life Dialogues & Exchanges),เฮาบ่มีเวลาหลาย
Conversational Data (Real-Life Dialogues & Exchanges),เอื้อยสิไปเที่ยวไหม?
Conversational Data (Real-Life Dialogues & Exchanges),อ้ายอยากกินตำบักหุ่ง
Code-Switching & Multilingualism,วันนี้อากาศดีหลายเลย
Code-Switching & Multilingualism,เธอกำลังไป market อยู่บ่?
Code-Switching & Multilingualism,กินข้าวแล้วบ่ or ยัง?
Code-Switching & Multilingualism,ข่อย work from home อยู่
Code-Switching & Multilingualism,ไปเที่ยวญี่ปุ่น มา happy หลาย
Code-Switching & Multilingualism,เฮา follow social media อยู่
Code-Switching & Multilingualism,จ่ายเงิน by cash ได้บ่?
Code-Switching & Multilingualism,ข่อย enjoy กินก๋วยเตี๋ยว
Code-Switching & Multilingualism,เธอ driving safe บ่?
Code-Switching & Multilingualism,ร้านนี้ sell เสื้อผ้างามๆ
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ข้าพเจ้าเห็นด้วยกับข้อเสนอนี้
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ตามกฎหมายฉบับนี้...
"Formal & Professional Speech (Business, Legal, Medical, Technical)",โปรดอ่านเอกสารสัญญาก่อนลงนาม
"Formal & Professional Speech (Business, Legal, Medical, Technical)",หมอแนะนำให้กินยาวันละสองครั้ง
"Formal & Professional Speech (Business, Legal, Medical, Technical)",บริษัทของเรามีเป้าหมายสูงสุด
"Formal & Professional Speech (Business, Legal, Medical, Technical)",การประชุมจะเริ่มต้นเวลาเก้าโมงเช้า
"Formal & Professional Speech (Business, Legal, Medical, Technical)",กรุณายืนยันการเข้าร่วมของท่าน
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ผู้ป่วยต้องปฏิบัติตามคำสั่งแพทย์
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ขอแจ้งให้ทราบเกี่ยวกับ...
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ตามระเบียบขององค์กร...
"Idioms, Proverbs & Cultural Expressions",น้ำตาตกใน
"Idioms, Proverbs & Cultural Expressions",ช้างตายทั้งตัวเอาใบบัวปิดบ่ได้
"Idioms, Proverbs & Cultural Expressions",จับปลาสองมือ
"Idioms, Proverbs & Cultural Expressions",ขี่ช้างจับตั๊กแตน
"Idioms, Proverbs & Cultural Expressions",ใจดีสู้เสือ
"Idioms, Proverbs & Cultural Expressions",ข้าวใหม่ปลามัน
"Idioms, Proverbs & Cultural Expressions",พูดไปสองไพเบี้ย
"Idioms, Proverbs & Cultural Expressions",น้ำขึ้นให้รีบตัก
"Idioms, Proverbs & Cultural Expressions",ตกกระไดพลอยโจน
"Idioms, Proverbs & Cultural Expressions",หมูในอวย
Question-Answer Pairs (FAQ & Contextual Understanding),อากาศเป็นจั่งใด? - มื้อนี้ฮ้อนหลาย
Question-Answer Pairs (FAQ & Contextual Understanding),เจ้ากินข้าวแล้วบ่? - กินแล้ว
Question-Answer Pairs (FAQ & Contextual Understanding),ร้านนี้ขายอิหยัง? - ขายเสื้อผ้า
Question-Answer Pairs (FAQ & Contextual Understanding),เจ้าสิไปยามใด? - พรุ่งนี้เช้า
Question-Answer Pairs (FAQ & Contextual Understanding),เขาเป็นไผ? - เขาเป็นหมอ
Question-Answer Pairs (FAQ & Contextual Understanding),เจ้าสิไปนำบ่? - บ่ได้ไป
Question-Answer Pairs (FAQ & Contextual Understanding),ไปตลาดมื้อใด? - วันศุกร์
Question-Answer Pairs (FAQ & Contextual Understanding),ฮู้บ่ ว่ามื้อนี้มีประชุม? - ฮู้แล้ว
Question-Answer Pairs (FAQ & Contextual Understanding),เจ้าอยากไปเที่ยวไส? - อยากไปภูเรือ
Question-Answer Pairs (FAQ & Contextual Understanding),มื้อนี้เฮาสิไปตลาดกันบ่? - ไปๆ
Commands & Instructions (Imperative Sentences),เปิดประตู
Commands & Instructions (Imperative Sentences),ปิดไฟ
Commands & Instructions (Imperative Sentences),มากินข้าว
Commands & Instructions (Imperative Sentences),ไปซื้อน้ำให้แหน่
Commands & Instructions (Imperative Sentences),หยุดพูดเดี๋ยวนี้
Commands & Instructions (Imperative Sentences),เขียนชื่อลงในแบบฟอร์ม
Commands & Instructions (Imperative Sentences),เงียบหน่อย
Commands & Instructions (Imperative Sentences),มานั่งใกล้ๆ
Commands & Instructions (Imperative Sentences),ไปบ่?
Commands & Instructions (Imperative Sentences),กลับบ้านได้แล้ว
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",บ่อนไก่ตั้งอยู่ที่อุดรธานี
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",มหาวิทยาลัยขอนแก่นเป็นที่รู้จักดี
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",วันที่ 12 เมษายนเป็นวันสงกรานต์
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",เธอเกิดปี 1995
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ตลาดไทยแลนด์เป็นตลาดดัง
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",นิตยสาร Time เป็นที่นิยม
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ชื่อจริงของเขาคือสมชาย
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",เจ้านายของข่อยคือคุณวิชัย
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ไปเที่ยวเชียงใหม่มื่อวาน
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",โรงเรียนบ้านน้อยเป็นโรงเรียนที่ดี
Sentiment Analysis Data (Emotion & Opinion-based Sentences),มื้อนี้ข่อยดีใจหลาย
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ข่อยเสียใจที่ได้ข่าวนี้
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ร้านนี้ของแพงแท้
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ข่อยคิดว่ามันดี
Sentiment Analysis Data (Emotion & Opinion-based Sentences),เฮาสิผิดหวังเด้อ
Sentiment Analysis Data (Emotion & Opinion-based Sentences),บ่แม่นเรื่องง่ายเลย
Sentiment Analysis Data (Emotion & Opinion-based Sentences),หนังเรื่องนี้มันส์หลาย
Sentiment Analysis Data (Emotion & Opinion-based Sentences),อาหารร้านนี้บ่แซ่บ
Sentiment Analysis Data (Emotion & Opinion-based Sentences),เสื้อสีนี้งามแท้
Sentiment Analysis Data (Emotion & Opinion-based Sentences),ลำบากหลายเด้อ
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),เขากำลังกินข้าว → เขากำลังกินข้าวอยู่
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ไปตลาดเมื่อวาน → เมื่อวานไปตลาด
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),เธอสวยมาก → เธองามหลาย
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ข่อยบ่เข้าใจ → ข่อยงง
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),เฮามีเวลา → เฮาบ่รีบ
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),ฟังบ่ฮู้เรื่อง → บ่เข้าใจ
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),หนังดี → หนังสนุก
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),อากาศดี → มื้อนี้ลมเย็น
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),อยากกินข้าว → หิวข้าวหลาย
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),เจ้าสบายดีบ่? → เป็นจั่งใดบ้าง?
