Category,Sentence (Wolof)
Grammar Core,Seyni dina dem liggéey bi.
Grammar Core,Seyni demoon na liggéey bi.
Grammar Core,Seyni dafay dem liggéey bi.
Grammar Core,Seyni du dem liggéey bi.
Grammar Core,Liggéey bi dafa diñu ci Seyni.
Grammar Core,Maa ngi jàng Wolof bu baax.
Grammar Core,Bëgguma dem foor bi.
Grammar Core,Maa ngi koy def ak xol bu neex.
Grammar Core,Ndax yow yaa wax li?
Grammar Core,Dafa mel ni dafay daw.
Conversational Data,Naka nga def?
Conversational Data,"Mangi fi rekk, naa nga def?"
Conversational Data,Ndax am nga benn yoon Senegal?
Conversational Data,"Jërëjëf, na nga def?"
Conversational Data,Dama feebar tey.
Conversational Data,Na nga tudd?
Conversational Data,Ndax war nga dem?
Conversational Data,Jox ma beneen jafe-jafe.
Conversational Data,Bugg nga naan attaaya?
Conversational Data,Am nga yeneen xibaar?
Code-Switching & Multilingualism,Maa ngi dem boutique bi pour acheter du lait.
Code-Switching & Multilingualism,"Jërëjëf, mais je ne comprends pas tout."
Code-Switching & Multilingualism,"Let's go to the marché, dafay lëndëm."
Code-Switching & Multilingualism,Maa ngi togg dinner bi maintenant.
Code-Switching & Multilingualism,"Ce problème-là, dafa compliqué waay."
Code-Switching & Multilingualism,Ndax am nga meeting ci Dakar demain?
Code-Switching & Multilingualism,Dama kham que tu veux partir.
Code-Switching & Multilingualism,Internet bi dafa ndank ci kër gi.
Code-Switching & Multilingualism,Dafay faire chaud aujourd’hui.
Code-Switching & Multilingualism,Kuy wax génn school bi?
Formal & Professional Speech,"Jërëjëf bu baax, wax na fi ci biir ndongo yi."
Formal & Professional Speech,Li lay jox bonn faayda mooy bopp la.
Formal & Professional Speech,Liggéey bi dafa rafet te am fayda.
Formal & Professional Speech,Nuyoo na ndongo yi ngir jàng bu baax.
Formal & Professional Speech,"Ngir yombal say liggéey, am na itam formation."
Formal & Professional Speech,Ndax dafay am réunion bu mag?
Formal & Professional Speech,Gëstu gi war na taxawal suñu liggéey.
Formal & Professional Speech,Sa compétence dina tax ba nga am mbiru xel.
Formal & Professional Speech,Dañuy am conférence ci Dakar.
Formal & Professional Speech,Lépp war na génn ci biir yoonu liggéey.
"Idioms, Proverbs & Cultural Expressions",Nit ku baax du sonn ci jëf.
"Idioms, Proverbs & Cultural Expressions","Ku wax waxu nit ñi, day sax."
"Idioms, Proverbs & Cultural Expressions","Dafay am xel, bu ko defoo du tekki."
"Idioms, Proverbs & Cultural Expressions",Maa ngi wax ba loxo mu sell.
"Idioms, Proverbs & Cultural Expressions","Ku dem dundu, du la neex ay jafe-jafe."
"Idioms, Proverbs & Cultural Expressions",Moom la sax ci laa nga koy wax.
"Idioms, Proverbs & Cultural Expressions",Nit ku am xel day jàpp liggéey bu rafet.
"Idioms, Proverbs & Cultural Expressions","Loxo lu neex la, te liggéey nga ci feebar."
"Idioms, Proverbs & Cultural Expressions","Ku bare wax, xamul dara."
"Idioms, Proverbs & Cultural Expressions","Dafay yomb degg, waaye metti wax."
Question-Answer Pairs,Ndax danga lekk?
Question-Answer Pairs,Baay sa tudd kan mooy?
Question-Answer Pairs,Liggéey bi dafa yomb?
Question-Answer Pairs,Ndax suñu xaalis am na fayda?
Question-Answer Pairs,Mba ngir sa xalaat?
Question-Answer Pairs,Mbaa sa doom bu mag?
Question-Answer Pairs,Kuy topp li lay neex?
Question-Answer Pairs,Ndax dafay gen faju?
Question-Answer Pairs,Ndax danga waxtaan ak moom?
Question-Answer Pairs,Lu tax nga soxla?
Commands & Instructions,Jox ma loolu.
Commands & Instructions,Dem ci ànd ak moom.
Commands & Instructions,Xool ko ci ban biir.
Commands & Instructions,Yaa ngi war a wax baax.
Commands & Instructions,Bul wax bu bare.
Commands & Instructions,Jokkoo ak moom ci waxtaan wi.
Commands & Instructions,Ñuyoo sa jabar ci nañu de.
Commands & Instructions,Ubbi bunt bi.
Commands & Instructions,Bayyil loolu.
Commands & Instructions,Wax ko ci wéet.
Named Entity Recognition (NER) Data,Dakar mooy caay gi Senegal.
Named Entity Recognition (NER) Data,Ndax xam nga Ousmane Sonko?
Named Entity Recognition (NER) Data,Mba sa mag la meun faju?
Named Entity Recognition (NER) Data,Kan mooy maire bu Dakar?
Named Entity Recognition (NER) Data,Sama liggéey ci Sonatel la.
Named Entity Recognition (NER) Data,Ndax yow yaa woon ci France?
Named Entity Recognition (NER) Data,Baay sa tudd Modou Jallow.
Named Entity Recognition (NER) Data,La conference du Sénégal dina am Dakar.
Named Entity Recognition (NER) Data,Moom dafa liggéey ci l’état.
Named Entity Recognition (NER) Data,Ndax yow yaa jàpp bu loolu?
Sentiment Analysis Data,Dama bég bu baax.
Sentiment Analysis Data,Sa wax dafa metti.
Sentiment Analysis Data,Dama nangu ak li nga wax.
Sentiment Analysis Data,"Bu ma def loolu, dama gën bëgg."
Sentiment Analysis Data,Dafay tax ma seet.
Sentiment Analysis Data,Ma ngi dem ci yoon bu rafet.
Sentiment Analysis Data,Dama sonn lool.
Sentiment Analysis Data,Bul wax jafe jafe.
Sentiment Analysis Data,"Bu la neex, na nga wax."
Sentiment Analysis Data,Dama mer lool.
Paraphrased & Augmented Sentences,"Bu la neex, wax ko."
Paraphrased & Augmented Sentences,Ndax nga war na dem?
Paraphrased & Augmented Sentences,Dafay rafet bu baax.
Paraphrased & Augmented Sentences,Mba yow yaa ko jàng?
Paraphrased & Augmented Sentences,Waa Dakar dañuy jàng.
Paraphrased & Augmented Sentences,Ndax am nga jafe-jafe?
Paraphrased & Augmented Sentences,Ndax suñu xaalis am fayda?
Paraphrased & Augmented Sentences,Mba sa doom du waxtaan.
Paraphrased & Augmented Sentences,"Lépp bu rafet, war na neex."
Paraphrased & Augmented Sentences,Dafay ame suñu xalaat.
